OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,1,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
2,1,1,Thomas J Kavanaugh VFW Post - Location 9,2,2,9,,,,,,,,1.042488363364437,,12.510014604883729,,,0.010548743120573
3,1,1,Thomas J Kavanaugh VFW Post - Location 10,1,1,10,,,,,,,,1.695324116426750,,20.344293306396590,,,0.018357510424612
4,1,1,Thomas J Kavanaugh VFW Post - Location 11,2,1,11,,,,,,,,1.540437497636409,,18.485827876672477,,,0.016907710109531
5,1,1,Thomas J Kavanaugh VFW Post - Location 12,2,1,12,,,,,,,,1.919977697052365,,23.040389826359561,,,0.020206008687956
6,1,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
7,1,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
8,1,1,Thomas J Kavanaugh VFW Post - Location 16,2,1,16,,,,,,,,0.984010515634662,,11.808103830973444,,,0.010403641525806
9,1,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,0.699244671661480,,8.391073589449251,,,0.007109387034220
10,1,1,Thomas J Kavanaugh VFW Post - Location 25,1,2,25,,,,,,,,0.370661520621506,,4.447902832998043,,,0.004096909233211
11,1,1,Thomas J Kavanaugh VFW Post - Location 27,1,2,27,,,,,,,,0.433570199729652,,5.202387684841757,,,0.004255192331476
12,1,1,Thomas J Kavanaugh VFW Post - Location 28,1,2,28,,,,,,,,0.201341444948735,,2.416168993337946,,,0.002197674666538
13,1,1,Thomas J Kavanaugh VFW Post - Location 29,1,1,29,,,,,,,,6.110604033885179,,73.326409613573134,,,0.064954075505757
14,1,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
15,1,1,Thomas J Kavanaugh VFW Post - Location 31,2,1,31,,,,,,,,1.901282267519623,,22.816246585449672,,,0.019869846967799
16,1,1,Thomas J Kavanaugh VFW Post - Location 32,2,1,32,,,,,,,,6.063042351736029,,72.755692529996892,,,0.064412499725169
17,1,1,Thomas J Kavanaugh VFW Post - Location 33,2,1,33,,,,,,,,0.679822953847855,,8.157973646426434,,,0.007027311535538
18,1,1,Thomas J Kavanaugh VFW Post - Location 34,1,1,34,,,,,,,,1.882411287491289,,22.589505825996273,,,0.019359934590967
19,1,1,Thomas J Kavanaugh VFW Post - Location 36,1,1,36,,,,,,,,1.714238129827191,,20.571346952572519,,,0.017050024360420
20,1,1,Thomas J Kavanaugh VFW Post - Location 37,1,1,37,,,,,,,,5.246059733970928,,62.951870353995325,,,0.055658246967849
21,1,1,Thomas J Kavanaugh VFW Post - Location 43,1,2,43,,,,,,,,1.267650242863191,,15.211928930373716,,,0.013438455053277
22,1,1,Thomas J Kavanaugh VFW Post - Location 48,1,2,48,,,,,,,,0.902432825152885,,10.829395317850253,,,0.009196914750767
23,1,1,Thomas J Kavanaugh VFW Post - Location 49,1,2,49,,,,,,,,0.881022380070520,,10.572463174882449,,,0.008935557927026
24,1,1,Thomas J Kavanaugh VFW Post - Location 52,1,1,52,,,,,,,,1.904270627546202,,22.851696390579889,,,0.020277536820697
25,1,1,Thomas J Kavanaugh VFW Post - Location 53,2,2,53,,,,,,,,0.215779146692183,,2.589392484915575,,,0.002232179756266
26,1,1,Thomas J Kavanaugh VFW Post - Location 55,1,2,55,,,,,,,,0.427638929059963,,5.131373002511182,,,0.004028363682821
27,1,1,Thomas J Kavanaugh VFW Post - Location 56,1,1,56,,,,,,,,1.540437497636409,,18.485827876672477,,,0.016907710109531
28,1,1,Thomas J Kavanaugh VFW Post - Location 57,1,1,57,,,,,,,,1.914117713173686,,22.970273365626021,,,0.019987659054437
29,1,1,Thomas J Kavanaugh VFW Post - Location 58,1,1,58,,,,,,,,0.804222022748812,,9.650783444882238,,,0.008387791213474
30,1,1,Thomas J Kavanaugh VFW Post - Location 60,1,1,60,,,,,,,,1.726825112600529,,20.722410040354582,,,0.017163467023385
31,1,1,Thomas J Kavanaugh VFW Post - Location 61,1,1,61,,,,,,,,5.417409997256376,,65.007727292998851,,,0.057747409682155
32,1,1,Thomas J Kavanaugh VFW Post - Location 66,1,2,66,,,,,,,,1.267365668739399,,15.208509317559470,,,0.013536455257829
33,1,1,Thomas J Kavanaugh VFW Post - Location 69,2,2,69,,,,,,,,1.081960358426857,,12.983710413204125,,,0.011097909800659
