OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,1,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
2,1,1,Thomas J Kavanaugh VFW Post - Location 10,1,1,10,,,,,,,,1.695324116426750,,20.344293306396590,,,0.018357510424612
3,1,1,Thomas J Kavanaugh VFW Post - Location 11,2,1,11,,,,,,,,1.533277240954473,,18.399894693834312,,,0.016840774065412
4,1,1,Thomas J Kavanaugh VFW Post - Location 12,2,1,12,,,,,,,,1.919977697052365,,23.040389826359561,,,0.020206008687956
5,1,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
6,1,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
7,1,1,Thomas J Kavanaugh VFW Post - Location 16,2,1,16,,,,,,,,1.025964556162006,,12.311228830973446,,,0.010926112204093
8,1,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,0.993854787065731,,11.926091027147381,,,0.010524000571044
9,1,1,Thomas J Kavanaugh VFW Post - Location 29,1,1,29,,,,,,,,6.110346696993422,,73.323321695868728,,,0.064951138482452
10,1,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
11,1,1,Thomas J Kavanaugh VFW Post - Location 31,2,1,31,,,,,,,,1.901282267519623,,22.816246585449672,,,0.019869846967799
12,1,1,Thomas J Kavanaugh VFW Post - Location 32,2,1,32,,,,,,,,6.063042351736029,,72.755692529996892,,,0.064412499725169
13,1,1,Thomas J Kavanaugh VFW Post - Location 33,2,1,33,,,,,,,,0.679822953847855,,8.157973646426434,,,0.007027311535538
14,1,1,Thomas J Kavanaugh VFW Post - Location 34,1,1,34,,,,,,,,1.881120431937968,,22.574015970620636,,,0.019348085116348
15,1,1,Thomas J Kavanaugh VFW Post - Location 36,1,1,36,,,,,,,,1.714238129827191,,20.571346952572519,,,0.017050024360420
16,1,1,Thomas J Kavanaugh VFW Post - Location 37,1,1,37,,,,,,,,5.246059733970928,,62.951870353995325,,,0.055658246967849
17,1,1,Thomas J Kavanaugh VFW Post - Location 43,1,2,43,,,,,,,,1.324862998342294,,15.898093459883604,,,0.014195669997762
18,1,1,Thomas J Kavanaugh VFW Post - Location 48,1,2,48,,,,,,,,1.034799005572807,,12.417530083475251,,,0.010724663859749
19,1,1,Thomas J Kavanaugh VFW Post - Location 49,1,2,49,,,,,,,,1.013388560490442,,12.160597940507447,,,0.010463307036007
20,1,1,Thomas J Kavanaugh VFW Post - Location 52,1,1,52,,,,,,,,1.904270627546202,,22.851696390579889,,,0.020277536820697
21,1,1,Thomas J Kavanaugh VFW Post - Location 55,1,2,55,,,,,,,,0.420300304474766,,5.043305308990843,,,0.003960357765634
22,1,1,Thomas J Kavanaugh VFW Post - Location 56,1,1,56,,,,,,,,1.533277240954473,,18.399894693834312,,,0.016840774065412
23,1,1,Thomas J Kavanaugh VFW Post - Location 57,1,1,57,,,,,,,,1.914117713173686,,22.970273365626021,,,0.019987659054437
24,1,1,Thomas J Kavanaugh VFW Post - Location 58,2,1,58,,,,,,,,0.921438954246188,,11.057093347417137,,,0.009753196531427
25,1,1,Thomas J Kavanaugh VFW Post - Location 60,1,1,60,,,,,,,,1.721465043119531,,20.658080990167822,,,0.017115158032859
