OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,1,1,Thomas J Kavanaugh VFW Post - Location 6,2,1,6,,,,,,,,1.779438347340107,,21.354069487602526,,,0.019785948594875
2,1,1,Thomas J Kavanaugh VFW Post - Location 8,1,1,8,,,,,,,,1.842591704126744,,22.112223910312377,,,0.019923023883670
3,1,1,Thomas J Kavanaugh VFW Post - Location 10,1,1,10,,,,,,,,1.690105610567375,,20.281988618896591,,,0.018307748550072
4,1,1,Thomas J Kavanaugh VFW Post - Location 11,1,1,11,,,,,,,,1.331108204226104,,15.973905751559471,,,0.014943332752281
5,1,1,Thomas J Kavanaugh VFW Post - Location 12,2,1,12,,,,,,,,1.919977697052365,,23.040389826359561,,,0.020206008687956
6,1,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
7,1,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
8,1,1,Thomas J Kavanaugh VFW Post - Location 15,2,1,15,,,,,,,,2.054420835303919,,24.653784258342355,,,0.021103637036743
9,1,1,Thomas J Kavanaugh VFW Post - Location 16,2,1,16,,,,,,,,0.984010515634662,,11.808103830973444,,,0.010403641525806
10,1,1,Thomas J Kavanaugh VFW Post - Location 27,1,2,27,,,,,,,,0.388100518463172,,4.656751509644003,,,0.003831995629705
11,1,1,Thomas J Kavanaugh VFW Post - Location 29,2,1,29,,,,,,,,5.911291073969196,,70.934641006851265,,,0.062522495862750
12,1,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
13,1,1,Thomas J Kavanaugh VFW Post - Location 31,2,1,31,,,,,,,,1.901282267519623,,22.816246585449672,,,0.019869846967799
14,1,1,Thomas J Kavanaugh VFW Post - Location 32,1,1,32,,,,,,,,5.958852756118346,,71.505358090427507,,,0.063061664545071
15,1,1,Thomas J Kavanaugh VFW Post - Location 33,2,1,33,,,,,,,,0.679822953847855,,8.157973646426434,,,0.007027311535538
16,1,1,Thomas J Kavanaugh VFW Post - Location 34,1,1,34,,,,,,,,1.882411287491289,,22.589505825996273,,,0.019359934590967
17,1,1,Thomas J Kavanaugh VFW Post - Location 35,1,1,35,,,,,,,,1.787509837517140,,21.450384683975294,,,0.017590553424719
18,1,1,Thomas J Kavanaugh VFW Post - Location 36,2,1,36,,,,,,,,1.715526394843476,,20.586474245613473,,,0.017006454001966
19,1,1,Thomas J Kavanaugh VFW Post - Location 37,1,1,37,,,,,,,,5.246059733970928,,62.951870353995325,,,0.055658246967849
20,1,1,Thomas J Kavanaugh VFW Post - Location 47,2,1,47,,,,,,,,1.965071947770067,,23.581541431197113,,,0.021507993704138
21,1,1,Thomas J Kavanaugh VFW Post - Location 51,2,1,51,,,,,,,,1.765120866815467,,21.182482561737579,,,0.019212159035748
22,1,1,Thomas J Kavanaugh VFW Post - Location 52,1,1,52,,,,,,,,1.899052121686827,,22.789391703079890,,,0.020227774946156
23,1,1,Thomas J Kavanaugh VFW Post - Location 55,1,2,55,,,,,,,,0.427638929059963,,5.131373002511182,,,0.004028363682821
24,1,1,Thomas J Kavanaugh VFW Post - Location 56,2,1,56,,,,,,,,1.371241316464278,,16.455559723620020,,,0.015319952504332
25,1,1,Thomas J Kavanaugh VFW Post - Location 57,1,1,57,,,,,,,,1.914117713173686,,22.970273365626021,,,0.019987659054437
26,1,1,Thomas J Kavanaugh VFW Post - Location 58,1,1,58,,,,,,,,0.804222022748812,,9.650783444882238,,,0.008387791213474
27,1,1,Thomas J Kavanaugh VFW Post - Location 59,1,1,59,,,,,,,,1.870308127599688,,22.443920649900789,,,0.018567823196519
28,1,1,Thomas J Kavanaugh VFW Post - Location 60,1,1,60,,,,,,,,1.703644633606741,,20.443912068508968,,,0.016866466476763
29,1,1,Thomas J Kavanaugh VFW Post - Location 61,1,1,61,,,,,,,,5.422660445331788,,65.070724450024215,,,0.057794799479557
30,1,1,Thomas J Kavanaugh VFW Post - Location 71,2,1,71,,,,,,,,1.759653295777213,,21.116637522961803,,,0.019535054095709
31,1,1,Thomas J Kavanaugh VFW Post - Location 73,2,1,73,,,,,,,,1.973814130640142,,23.686572179986385,,,0.021003714084445
32,1,1,Thomas J Kavanaugh VFW Post - Location 74,1,1,74,,,,,,,,1.755431243751165,,21.066195665562862,,,0.019123248453159
