OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,1,1,Thomas J Kavanaugh VFW Post - Location 1,1,2,1,,,,,,,,2.056254874134715,,24.674881368231720,,,0.022318162066422
2,1,1,Thomas J Kavanaugh VFW Post - Location 2,1,2,2,,,,,,,,1.987632771408851,,23.851444048730059,,,0.021589525427701
3,1,1,Thomas J Kavanaugh VFW Post - Location 3,1,2,3,,,,,,,,1.804239419771742,,21.651153324939315,,,0.019392692284451
4,1,1,Thomas J Kavanaugh VFW Post - Location 4,1,2,4,,,,,,,,1.723222917692391,,20.678931241329035,,,0.018527418581125
5,1,1,Thomas J Kavanaugh VFW Post - Location 5,1,2,5,,,,,,,,1.493786739834963,,17.925835635336703,,,0.015900991152136
6,1,1,Thomas J Kavanaugh VFW Post - Location 6,2,2,6,,,,,,,,0.903978023421279,,10.847657539053150,,,0.009746147426388
7,1,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
8,1,1,Thomas J Kavanaugh VFW Post - Location 8,1,2,8,,,,,,,,1.221510652668853,,14.658399852387999,,,0.012954981878139
9,1,1,Thomas J Kavanaugh VFW Post - Location 9,2,2,9,,,,,,,,0.541057670316655,,6.492792423443119,,,0.005298791666450
10,1,1,Thomas J Kavanaugh VFW Post - Location 10,1,2,10,,,,,,,,1.194985862820422,,14.339883310972215,,,0.012904095624227
11,1,1,Thomas J Kavanaugh VFW Post - Location 11,2,2,11,,,,,,,,1.254428752561006,,15.053340342190527,,,0.013648425755220
12,1,1,Thomas J Kavanaugh VFW Post - Location 12,2,2,12,,,,,,,,1.442596291590568,,17.310931002810186,,,0.015320824255148
13,1,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
14,1,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
15,1,1,Thomas J Kavanaugh VFW Post - Location 15,2,2,15,,,,,,,,1.989377686678060,,23.871981684792974,,,0.021425815215827
16,1,1,Thomas J Kavanaugh VFW Post - Location 16,2,1,16,,,,,,,,0.984010515634662,,11.808103830973444,,,0.010403641525806
17,1,1,Thomas J Kavanaugh VFW Post - Location 17,2,2,17,,,,,,,,2.127825602561041,,25.533749351010581,,,0.023140599429181
18,1,1,Thomas J Kavanaugh VFW Post - Location 18,2,2,18,,,,,,,,2.031600093108165,,24.379617571174204,,,0.021897073537286
19,1,1,Thomas J Kavanaugh VFW Post - Location 19,2,2,19,,,,,,,,1.241053211599446,,14.892747164532425,,,0.013329016238268
20,1,1,Thomas J Kavanaugh VFW Post - Location 20,1,2,20,,,,,,,,1.446498962230497,,17.357801693709366,,,0.015356872403283
21,1,1,Thomas J Kavanaugh VFW Post - Location 21,1,2,21,,,,,,,,1.595200428244817,,19.142107894316759,,,0.016917215045792
22,1,1,Thomas J Kavanaugh VFW Post - Location 22,1,2,22,,,,,,,,0.671307017301112,,8.055797065164713,,,0.006774019539843
23,1,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,0.530992089936324,,6.372173856290361,,,0.005453106807745
24,1,1,Thomas J Kavanaugh VFW Post - Location 24,2,2,24,,,,,,,,1.066921573505373,,12.802990250140429,,,0.011344944364478
25,1,1,Thomas J Kavanaugh VFW Post - Location 25,1,2,25,,,,,,,,0.370661520621506,,4.447902832998043,,,0.004096909233211
26,1,1,Thomas J Kavanaugh VFW Post - Location 26,1,2,26,,,,,,,,0.457739468719499,,5.492955328396416,,,0.004507664707183
27,1,1,Thomas J Kavanaugh VFW Post - Location 27,2,2,27,,,,,,,,0.301183709749958,,3.614247241608868,,,0.003027059769599
28,1,1,Thomas J Kavanaugh VFW Post - Location 28,1,2,28,,,,,,,,0.215077250098720,,2.581007928255159,,,0.002357529313429
29,1,1,Thomas J Kavanaugh VFW Post - Location 29,2,1,29,,,,,,,,5.911291073969196,,70.934641006851265,,,0.062522495862750
30,1,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
31,1,1,Thomas J Kavanaugh VFW Post - Location 31,2,2,31,,,,,,,,1.528774519284389,,18.344990886900295,,,0.016303955426612
32,1,1,Thomas J Kavanaugh VFW Post - Location 32,1,1,32,,,,,,,,5.958852756118346,,71.505358090427507,,,0.063061664545071
33,1,1,Thomas J Kavanaugh VFW Post - Location 33,2,1,33,,,,,,,,0.679822953847855,,8.157973646426434,,,0.007027311535538
34,1,1,Thomas J Kavanaugh VFW Post - Location 34,1,2,34,,,,,,,,1.818840612009961,,21.825476689946893,,,0.019729515578456
35,1,1,Thomas J Kavanaugh VFW Post - Location 35,1,1,35,,,,,,,,1.787509837517140,,21.450384683975294,,,0.017590553424719
36,1,1,Thomas J Kavanaugh VFW Post - Location 36,2,1,36,,,,,,,,1.715526394843476,,20.586474245613473,,,0.017006454001966
37,1,1,Thomas J Kavanaugh VFW Post - Location 37,1,1,37,,,,,,,,5.246059733970928,,62.951870353995325,,,0.055658246967849
38,1,1,Thomas J Kavanaugh VFW Post - Location 38,1,2,38,,,,,,,,2.047364897518609,,24.568803636973257,,,0.022169677439980
39,1,1,Thomas J Kavanaugh VFW Post - Location 39,1,2,39,,,,,,,,2.023414956672672,,24.280812024195736,,,0.021950115256873
40,1,1,Thomas J Kavanaugh VFW Post - Location 40,1,2,40,,,,,,,,2.066536108332478,,24.798266148286523,,,0.022415608248603
41,1,1,Thomas J Kavanaugh VFW Post - Location 41,1,2,41,,,,,,,,1.850120379250684,,22.201500245803455,,,0.019984906559769
42,1,1,Thomas J Kavanaugh VFW Post - Location 42,1,2,42,,,,,,,,1.586254235725731,,19.035206948356162,,,0.016894200280573
43,1,1,Thomas J Kavanaugh VFW Post - Location 43,1,2,43,,,,,,,,1.138391059378960,,13.660753444775306,,,0.012281721201137
44,1,1,Thomas J Kavanaugh VFW Post - Location 44,1,2,44,,,,,,,,1.434145364453654,,17.210025797981178,,,0.015288438926311
45,1,1,Thomas J Kavanaugh VFW Post - Location 45,1,2,45,,,,,,,,1.538586066372681,,18.463512683150913,,,0.016361106842193
46,1,1,Thomas J Kavanaugh VFW Post - Location 46,1,2,46,,,,,,,,1.699603732778601,,20.395181207869580,,,0.017945049000600
47,1,1,Thomas J Kavanaugh VFW Post - Location 47,2,2,47,,,,,,,,1.000023458568036,,11.999982998272742,,,0.010537453732670
48,1,1,Thomas J Kavanaugh VFW Post - Location 48,1,2,48,,,,,,,,0.749001886432182,,8.988086724100253,,,0.007462382858644
49,1,1,Thomas J Kavanaugh VFW Post - Location 49,2,2,49,,,,,,,,0.694200889760652,,8.330499876568178,,,0.006891129683382
50,1,1,Thomas J Kavanaugh VFW Post - Location 50,2,2,50,,,,,,,,0.546175137885798,,6.554224722665905,,,0.005346950998494
51,1,1,Thomas J Kavanaugh VFW Post - Location 51,2,2,51,,,,,,,,1.144039815357576,,13.728658503813202,,,0.012244117030218
52,1,1,Thomas J Kavanaugh VFW Post - Location 52,1,2,52,,,,,,,,1.305223267494562,,15.662423113905515,,,0.013866583807157
53,1,1,Thomas J Kavanaugh VFW Post - Location 53,2,2,53,,,,,,,,0.239828544735567,,2.877985261436177,,,0.002456013407153
54,1,1,Thomas J Kavanaugh VFW Post - Location 55,1,2,55,,,,,,,,0.427638929059963,,5.131373002511182,,,0.004028363682821
55,1,1,Thomas J Kavanaugh VFW Post - Location 56,1,2,56,,,,,,,,1.214295640322831,,14.571686370129978,,,0.013271806003169
