OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,1,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
2,1,1,Thomas J Kavanaugh VFW Post - Location 8,2,1,8,,,,,,,,1.968564267985444,,23.623387256986998,,,0.021056299725100
3,1,1,Thomas J Kavanaugh VFW Post - Location 10,1,1,10,,,,,,,,1.690105610567375,,20.281988618896591,,,0.018307748550072
4,1,1,Thomas J Kavanaugh VFW Post - Location 11,1,1,11,,,,,,,,1.331108204226104,,15.973905751559471,,,0.014943332752281
5,1,1,Thomas J Kavanaugh VFW Post - Location 12,2,1,12,,,,,,,,1.919977697052365,,23.040389826359561,,,0.020206008687956
6,1,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
7,1,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
8,1,1,Thomas J Kavanaugh VFW Post - Location 15,1,1,15,,,,,,,,2.213293364347331,,26.559561283957013,,,0.022227232223734
9,1,1,Thomas J Kavanaugh VFW Post - Location 16,2,1,16,,,,,,,,1.025964556162006,,12.311228830973446,,,0.010926112204093
10,1,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,0.986758162604104,,11.840933441943845,,,0.010457214378529
11,1,1,Thomas J Kavanaugh VFW Post - Location 29,1,1,29,,,,,,,,6.110604033885179,,73.326409613573134,,,0.064954075505757
12,1,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
13,1,1,Thomas J Kavanaugh VFW Post - Location 31,2,1,31,,,,,,,,1.901282267519623,,22.816246585449672,,,0.019869846967799
14,1,1,Thomas J Kavanaugh VFW Post - Location 32,2,1,32,,,,,,,,6.063042351736029,,72.755692529996892,,,0.064412499725169
15,1,1,Thomas J Kavanaugh VFW Post - Location 33,2,1,33,,,,,,,,0.679822953847855,,8.157973646426434,,,0.007027311535538
16,1,1,Thomas J Kavanaugh VFW Post - Location 34,1,1,34,,,,,,,,1.882411287491289,,22.589505825996273,,,0.019359934590967
17,1,1,Thomas J Kavanaugh VFW Post - Location 35,1,1,35,,,,,,,,1.787509837517140,,21.450384683975294,,,0.017590553424719
18,1,1,Thomas J Kavanaugh VFW Post - Location 36,2,1,36,,,,,,,,1.715526394843476,,20.586474245613473,,,0.017006454001966
19,1,1,Thomas J Kavanaugh VFW Post - Location 37,1,1,37,,,,,,,,5.246059733970928,,62.951870353995325,,,0.055658246967849
20,1,1,Thomas J Kavanaugh VFW Post - Location 43,1,2,43,,,,,,,,1.348343331458017,,16.179850093780907,,,0.014448608816743
21,1,1,Thomas J Kavanaugh VFW Post - Location 48,1,2,48,,,,,,,,1.034799005572807,,12.417530083475251,,,0.010724663859749
22,1,1,Thomas J Kavanaugh VFW Post - Location 49,1,2,49,,,,,,,,1.013388560490442,,12.160597940507447,,,0.010463307036007
23,1,1,Thomas J Kavanaugh VFW Post - Location 51,1,1,51,,,,,,,,2.046035105296721,,24.553128605561792,,,0.021767164573021
24,1,1,Thomas J Kavanaugh VFW Post - Location 52,1,1,52,,,,,,,,1.899052121686827,,22.789391703079890,,,0.020227774946156
25,1,1,Thomas J Kavanaugh VFW Post - Location 55,1,2,55,,,,,,,,0.427638929059963,,5.131373002511182,,,0.004028363682821
26,1,1,Thomas J Kavanaugh VFW Post - Location 56,2,1,56,,,,,,,,1.371241316464278,,16.455559723620020,,,0.015319952504332
27,1,1,Thomas J Kavanaugh VFW Post - Location 57,1,1,57,,,,,,,,1.914117713173686,,22.970273365626021,,,0.019987659054437
28,1,1,Thomas J Kavanaugh VFW Post - Location 58,2,1,58,,,,,,,,0.921438954246188,,11.057093347417137,,,0.009753196531427
29,1,1,Thomas J Kavanaugh VFW Post - Location 59,1,1,59,,,,,,,,1.870308127599688,,22.443920649900789,,,0.018567823196519
30,1,1,Thomas J Kavanaugh VFW Post - Location 60,1,1,60,,,,,,,,1.703644633606741,,20.443912068508968,,,0.016866466476763
