In rescue but not evac
6
518
8
525
526
22
24
537
541
542
35
556
46
47
565
54
59
573
578
70
71
72
593
83
84
595
86
596
614
617
623
627
121
122
633
124
634
642
643
136
143
655
147
150
151
662
160
161
683
172
176
189
197
711
200
715
205
718
207
726
215
727
737
226
740
741
742
232
236
237
748
749
241
242
753
244
755
246
769
771
773
774
775
776
777
267
268
780
781
271
789
790
283
284
287
288
290
291
293
809
814
815
311
313
825
827
829
321
834
331
846
848
849
850
339
852
342
343
346
860
351
865
366
367
878
880
370
882
372
373
890
384
385
386
896
897
898
390
899
904
905
910
404
405
406
917
921
927
928
417
426
427
939
940
432
433
440
958
452
463
976
465
471
472
473
990
480
482
483
484
497
498
506
