FID,Id,Non_res,Property_I,Counts,POINT_X,POINT_Y
0,1,21,1,5,471621.0829,623173.3769
1,2,21,2,5,471533.2914,623177.0108
2,3,21,3,5,470930.8605,622396.2292
3,4,21,4,5,470707.8521,622569.0943
4,5,22,5,4,468655.3903,620692.3615
5,6,9,6,17,467717.1605,623446.3596
6,7,0,7,26,467410.7015,622882.8552
7,8,17,8,9,467401.2593,624318.1469
8,9,0,9,26,467244.7399,621128.9043
9,10,0,10,26,467080.4712,624043.8791
10,11,13,11,13,466925.2258,623007.3267
11,12,0,12,26,466872.5402,625035.2853
12,13,0,13,26,466549.0487,621365.3205
13,14,0,14,26,466328.3287,621106.5244
14,15,16,15,10,465625.6792,625618.5656
15,16,0,16,26,464993.9022,620409.0721
16,17,21,17,5,471899.7581,623205.9425
17,18,21,18,5,471569.8448,622576.783
18,19,21,19,5,469091.6201,621942.5296
19,20,16,20,10,468399.7829,620794.546
20,21,16,21,10,468227.6011,620773.6461
21,22,0,22,26,467600.3032,620923.7459
22,23,8,23,18,467492.9287,621627.1628
23,24,17,24,9,467441.3386,624155.786
24,25,18,25,8,467355.7617,622769.482
25,26,18,26,8,467108.565,621349.4212
26,27,18,27,8,467062.5861,621909.1908
27,28,20,28,6,467044.9224,622307.0775
28,29,0,29,26,466764.7874,620404.0163
29,30,0,30,26,466788.0387,622234.3683
30,31,0,31,26,466642.6666,625120.9744
31,32,0,32,26,466631.1706,620561.2168
32,33,0,33,26,465829.8891,620892.8086
33,34,0,34,26,465793.1919,625263.7901
34,35,12,35,14,464669.0617,625676.5455
35,36,3,36,23,464386.9208,625353.6386
36,37,0,37,26,463802.7648,618448.9257
37,38,21,38,5,471697.334,622568.9775
38,39,21,39,5,471613.5871,622950.6352
39,40,21,40,5,471630.9752,623140.0486
40,41,21,41,5,471054.8563,623124.5771
41,42,21,42,5,470162.3522,622256.2213
42,43,18,43,8,469269.2322,621481.0023
43,44,22,44,4,468767.5564,620862.0108
44,45,22,45,4,468553.5703,620589.6672
45,46,22,46,4,467855.2088,620177.0086
46,47,17,47,9,467745.3865,624324.8116
47,48,0,48,26,467708.2219,621451.4394
48,49,0,49,26,467548.2511,621572.573
49,50,10,50,16,467240.6612,621432.6301
50,51,17,51,9,467184.7712,624134.1155
51,52,0,52,26,467197.8181,624725.0067
52,53,12,53,14,466987.8779,622093.5953
53,54,0,54,26,467017.765,620375.8464
54,55,11,55,15,466904.8561,621168.5893
55,56,0,56,26,466780.2162,623060.9057
56,57,0,57,26,466768.8741,625112.2539
57,58,0,58,26,465447.6201,620875.7828
58,59,13,59,13,464940.7055,625678.6101
59,60,3,60,23,464420.2692,625489.6216
60,61,18,61,8,463217.0163,618453.1849
61,62,21,62,5,471116.3765,623154.2172
62,63,21,63,5,470372.7015,622416.3899
63,64,21,64,5,470129.6334,622883.5255
64,65,21,65,5,469934.4347,622791.6749
65,66,0,66,26,469385.0772,622679.7673
66,67,16,67,10,468580.4246,620816.6477
67,68,16,68,10,468440.9134,620835.8366
68,69,0,69,26,467755.1592,620987.6024
69,70,22,70,4,467719.5411,619740.4979
70,71,18,71,8,467603.4911,623475.1903
71,72,22,72,4,467601.9186,619606.8558
72,73,0,73,26,467315.4405,624849.5077
73,74,17,74,9,467298.5649,624054.6081
74,75,12,75,14,467297.3645,621905.6655
75,76,19,76,7,467268.2507,622191.6659
76,77,17,77,9,467134.7237,621137.4568
77,78,0,78,26,466947.9987,622746.5326
78,79,0,79,26,466913.2707,618292.868
79,80,0,80,26,466665.1193,621191.2323
80,81,0,81,26,466124.4957,621128.2324
81,82,14,82,12,465417.4598,625393.8114
82,83,11,83,15,465065.555,625923.978
83,84,13,84,13,465050.2814,625675.5061
84,85,3,85,23,464624.1159,625509.4395
85,86,11,86,15,464596.1651,625883.1569
86,87,0,87,26,463082.4559,618393.3271
87,88,21,88,5,471565.7431,622793.2756
88,89,21,89,5,471109.6531,622996.7801
89,90,21,90,5,470901.7109,622645.2887
90,91,21,91,5,470599.266,622517.5308
91,92,21,92,5,469741.8077,622215.5094
92,93,21,93,5,469284.994,622100.3905
93,94,18,94,8,469018.1822,621532.602
94,95,0,95,26,469057.0457,622270.2016
95,96,16,96,10,468345.2141,620715.4839
96,97,0,97,26,467829.2515,621251.6143
97,98,9,98,17,467626.1378,623829.0469
98,99,0,99,26,466902.8616,623171.2837
99,100,9,100,17,466919.2031,621586.2528
100,101,11,101,15,466901.2901,621202.7102
101,102,0,102,26,466707.4956,617650.5172
102,103,0,103,26,466150.6998,625244.6881
103,104,0,104,26,465986.5492,621036.7621
104,105,8,105,18,465921.9991,625402.1507
105,106,0,106,26,465662.8441,620883.5803
106,107,0,107,26,464383.7394,618898.6122
107,108,0,108,26,463077.2023,618299.3483
108,109,21,109,5,471691.4062,622980.247
109,110,21,110,5,471594.3418,622535.5494
110,111,21,111,5,471540.1995,623338.4976
111,112,21,112,5,470333.5621,622091.134
112,113,21,113,5,470253.7149,622369.139
113,114,21,114,5,469866.1461,622186.6174
114,115,0,115,26,469231.4597,622575.8295
115,116,0,116,26,469139.5668,622356.4373
116,117,16,117,10,468504.3916,620523.604
117,118,16,118,10,468438.8261,620636.4072
118,119,16,119,10,468281.604,620432.6235
119,120,0,120,26,468039.6592,625013.3214
120,121,0,121,26,467693.8013,620874.9553
121,122,22,122,4,467537.2902,619537.2132
122,123,0,123,26,467448.0761,622639.0847
123,124,14,124,12,467321.3595,623180.0977
124,125,10,125,16,467222.1553,621404.953
125,126,3,126,23,467123.2585,623924.4177
126,127,0,127,26,466960.4655,619181.67
127,128,11,128,15,466982.5239,621335.0719
128,129,10,129,16,466956.9918,621011.4167
129,130,12,130,14,466942.8881,622259.755
130,131,10,131,16,466876.6281,625114.3405
131,132,0,132,26,466918.8491,623124.0342
132,133,0,133,26,466873.1553,623238.1826
133,134,14,134,12,466815.2663,625215.6415
134,135,0,135,26,466725.8981,621315.461
135,136,13,136,13,465617.0187,625500.9192
136,137,0,137,26,464857.3119,625512.7141
137,138,0,138,26,463966.3925,618613.6196
138,139,21,139,5,471492.1231,622430.5395
139,140,21,140,5,470213.7523,622503.8595
140,141,21,141,5,469865.589,621984.3708
141,142,21,142,5,471584.1512,623076.5845
142,143,0,143,26,467251.7222,620419.6226
143,144,0,144,26,466605.0693,621357.7664
144,145,6,145,20,466062.5267,625326.3162
145,146,21,146,5,470463.3378,622460.024
146,147,11,147,15,465090.8485,625913.7008
147,148,17,148,9,468191.1806,620332.4124
148,149,0,149,26,467881.3134,620936.9739
149,150,22,150,4,467933.5906,620012.0489
150,151,22,151,4,467424.0089,619599.7981
151,152,16,152,10,467384.1914,624440.8665
152,153,6,153,20,467328.7076,622614.903
153,154,17,154,9,467175.2394,624085.6976
154,155,4,155,22,467183.4615,624348.8627
155,156,0,156,26,467063.943,618818.9535
156,157,0,157,26,466968.7129,620018.544
157,158,5,158,21,466894.8827,621771.4086
158,159,0,159,26,466171.9366,625317.4284
159,160,11,160,15,465043.9841,625821.9349
160,161,11,161,15,464485.6998,625967.2158
161,162,26,162,0,464010.3254,626195.3036
162,163,21,163,5,471851.0292,623322.3559
163,164,21,164,5,471403.7582,622770.1267
164,165,21,165,5,470880.791,622380.5019
165,166,21,166,5,470555.4984,622499.103
166,167,21,167,5,470266.6115,622839.6748
167,168,21,168,5,470142.656,622316.894
168,169,18,169,8,469604.6548,621757.0011
169,170,21,170,5,469613.7578,621530.3359
170,171,16,171,10,468961.3615,621252.7033
171,172,0,172,26,467725.2826,620849.4531
172,173,0,173,26,467618.874,621414.9126
173,174,9,174,17,467643.3549,623646.9685
174,175,0,175,26,467637.6302,621446.5224
175,176,17,176,9,467561.0887,624128.6217
176,177,19,177,7,467308.498,621966.7835
177,178,19,178,7,467205.7049,622250.6727
178,179,3,179,23,467112.1408,623891.0008
179,180,19,180,7,467156.6505,621763.7455
180,181,21,181,5,467090.4761,621385.2919
181,182,20,182,6,467098.4511,622146.042
182,183,14,183,12,466981.852,623308.8527
183,184,13,184,13,466967.7956,621832.0689
184,185,9,185,17,466898.2285,617616.8208
185,186,11,186,15,466868.7288,621275.1609
186,187,10,187,16,466695.7814,621011.062
187,188,0,188,26,465139.3566,625375.2163
188,189,12,189,14,464188.4616,625794.3976
189,190,21,190,5,471044.9508,623150.2146
190,191,21,191,5,470700.7212,622836.3028
191,192,21,192,5,469844.5401,621959.506
192,193,17,193,9,469186.3056,621861.3959
193,194,22,194,4,468287.4918,620256.9733
194,195,17,195,9,468056.9961,620540.9727
195,196,0,196,26,467543.988,621740.7781
196,197,22,197,4,467414.6106,619751.9077
197,198,0,198,26,467337.3417,621328.0135
198,199,4,199,22,467242.4105,624385.4132
199,200,0,200,26,467174.1331,620901.1121
200,201,12,201,14,466986.5334,622137.4928
201,202,11,202,15,466860.0149,621341.6696
202,203,0,203,26,466660.7338,625206.6596
203,204,0,204,26,466469.7546,620989.6283
204,205,16,205,10,466353.929,625444.6831
205,206,0,206,26,465206.4146,625371.4368
206,207,12,207,14,464479.1923,625800.891
207,208,0,208,26,464246.4155,618787.4054
208,209,21,209,5,471975.9877,623513.9071
209,210,21,210,5,471787.6527,623210.5189
210,211,21,211,5,471301.9949,622547.0891
211,212,21,212,5,470386.5528,622844.8763
212,213,21,213,5,469885.8449,621691.5377
213,214,16,214,10,468890.6959,621174.8133
214,215,0,215,26,467660.8021,620895.4799
215,216,0,216,26,467482.9727,621030.6568
216,217,18,217,8,466992.7824,622515.1538
217,218,12,218,14,466846.618,622233.6862
218,219,0,219,26,466763.8235,622440.0785
219,220,0,220,26,466613.1194,621312.026
220,221,13,221,13,465587.008,625372.3591
221,222,21,222,5,471930.2833,623490.2414
222,223,21,223,5,471869.4665,622555.2472
223,224,21,224,5,471383.0331,623073.2288
224,225,21,225,5,471287.2207,623086.9883
225,226,11,226,15,464706.8313,625808.0134
226,227,21,227,5,470795.7108,622467.4518
227,228,0,228,26,470175.3895,623711.2617
228,229,18,229,8,469455.3562,621747.1363
229,230,16,230,10,468683.5293,620909.2656
230,231,10,231,16,467979.0875,620442.7554
231,232,22,232,4,467869.6648,619929.3391
232,233,10,233,16,466935.8422,620947.7928
233,234,4,234,22,466602.0935,621047.037
234,235,0,235,26,466404.9142,625274.73
235,236,13,236,13,465685.6528,625491.3687
236,237,12,237,14,464441.942,625668.2217
237,238,21,238,5,471443.6029,622564.637
238,239,21,239,5,471125.5737,622604.0677
239,240,0,240,26,470126.0609,623650.5036
240,241,22,241,4,469297.1095,620927.7413
241,242,22,242,4,467918.0821,619874.0475
242,243,0,243,26,467661.7699,623999.5777
243,244,17,244,9,467582.2245,624205.3962
244,245,11,245,15,467342.7371,621635.7632
245,246,9,246,17,467084.3281,618137.8771
246,247,0,247,26,466833.8319,622668.5177
247,248,0,248,26,466773.1342,620309.0982
248,249,0,249,26,466308.6269,625287.4941
249,250,0,250,26,466243.5021,621070.6528
250,251,0,251,26,466079.9863,621104.6793
251,252,3,252,23,465653.5748,625356.4247
252,253,14,253,12,465544.2449,625387.463
253,254,13,254,13,465091.9089,625689.2823
254,255,21,255,5,471286.4546,622736.53
255,256,21,256,5,471196.7274,622908.8407
256,257,21,257,5,471062.3012,622573.4893
257,258,21,258,5,470861.1995,622504.1181
258,259,21,259,5,470622.8299,622794.0926
259,260,21,260,5,470366.7133,622557.9198
260,261,21,261,5,469783.7794,622051.4271
261,262,0,262,26,469498.5579,622860.3992
262,263,0,263,26,463538.3845,618466.5586
263,264,16,264,10,468849.3509,621344.5413
264,265,16,265,10,468378.9128,620754.0097
265,266,0,266,26,467526.3542,621109.4929
266,267,0,267,26,467270.3386,620962.569
267,268,17,268,9,467267.2572,623928.3295
268,269,0,269,26,467282.5426,622233.8853
269,270,7,270,19,467201.3699,622285.5368
270,271,22,271,4,467152.4264,621573.2292
271,272,0,272,26,467121.6555,622824.2152
272,273,9,273,17,466941.1204,621484.3741
273,274,11,274,15,466954.4403,621411.9001
274,275,0,275,26,466926.8875,618333.0936
275,276,1,276,25,466945.4813,622395.9349
276,277,12,277,14,466880.779,622091.8049
277,278,12,278,14,466863.0146,622149.4593
278,279,16,279,10,466437.4846,625415.7786
279,280,21,280,5,470906.3113,622930.2911
