FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA40300>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.185454518309,0.0,2.22536756317,0.0,0.0,0.00198525695357
3,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,28,4,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.230018095231,0.0,2.76009658671,0.0,0.0,0.00235446587973
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,27,5,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.319685027639,0.0,3.83625971181,0.0,0.0,0.00318996413655
5,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,100,6,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.319685027639,0.0,3.83625971181,0.0,0.0,0.00318996413655
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,13,7,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
7,<geoprocessing describe geometry object object at 0x0000017C3FA40690>,55,8,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.3608801491,0.0,4.33069486823,0.0,0.0,0.00344595946301
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,80,9,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.3608801491,0.0,4.33069486823,0.0,0.0,0.00344595946301
9,<geoprocessing describe geometry object object at 0x0000017C3FA40660>,81,10,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
10,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,14,11,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.670213282747,0.0,8.04268146328,0.0,0.0,0.00696895742262
11,<geoprocessing describe geometry object object at 0x0000017C3FA40CC0>,33,12,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
12,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,16,13,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
13,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,99,14,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.54091433508,0.0,18.4913613791,0.0,0.0,0.016912096954
14,<geoprocessing describe geometry object object at 0x0000017C3FA4A4B0>,56,15,Location 56 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.54710001942,0.0,18.5655983187,0.0,0.0,0.0169709775914
15,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,85,16,Location 85 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.67732838213,0.0,20.1281986861,0.0,0.0,0.0165567271168
