FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C3FA40120>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.179937628239,0.0,2.15916131441,0.0,0.0,0.00192170300872
3,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,27,4,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.316215020847,0.0,3.79462253468,0.0,0.0,0.00314980030098
4,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,100,5,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.316215020847,0.0,3.79462253468,0.0,0.0,0.00314980030098
5,<geoprocessing describe geometry object object at 0x0000017C3FA40120>,13,6,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.447446032391,0.0,5.36907677302,0.0,0.0,0.00453760014725
6,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,80,7,Location 80 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.473413435015,0.0,5.68063690511,0.0,0.0,0.00466955397378
7,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,55,8,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.490657443977,0.0,5.88759843926,0.0,0.0,0.0049995355506
8,<geoprocessing describe geometry object object at 0x0000017C3FA40120>,26,9,Location 26 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.490657443977,0.0,5.88759843926,0.0,0.0,0.0049995355506
9,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,81,10,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.601489342183,0.0,7.21767069018,0.0,0.0,0.00618798135132
10,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,14,11,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.673959315462,0.0,8.08731036953,0.0,0.0,0.00701175200276
11,<geoprocessing describe geometry object object at 0x0000017C3FA40120>,33,12,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.683568986563,0.0,8.20260255268,0.0,0.0,0.00707010611568
12,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,58,13,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.909805735624,0.0,10.9174900543,0.0,0.0,0.00962381298751
13,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,16,14,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
14,<geoprocessing describe geometry object object at 0x0000017C3FA40120>,99,15,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.54091433508,0.0,18.4913613791,0.0,0.0,0.016912096954
