FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C32EFFF90>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA4A270>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C32EFFF90>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.19485561859,0.0,2.33818684648,0.0,0.0,0.0020935591379
3,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,28,4,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.243562188497,0.0,2.92262066858,0.0,0.0,0.00247878207997
4,<geoprocessing describe geometry object object at 0x0000017C32EFFF90>,100,5,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.323006969702,0.0,3.87612023611,0.0,0.0,0.00322841418658
5,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,27,6,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.323006969702,0.0,3.87612023611,0.0,0.0,0.00322841418658
6,<geoprocessing describe geometry object object at 0x0000017C32EFFF90>,13,7,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
7,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,80,8,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.37262745983,0.0,4.47166405425,0.0,0.0,0.00355514547276
8,<geoprocessing describe geometry object object at 0x0000017C32EFFF90>,55,9,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.37262745983,0.0,4.47166405425,0.0,0.0,0.00355514547276
9,<geoprocessing describe geometry object object at 0x0000017C3FA4A0C0>,81,10,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
10,<geoprocessing describe geometry object object at 0x0000017C32EFFA50>,14,11,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.670213282747,0.0,8.04268146328,0.0,0.0,0.00696895742262
11,<geoprocessing describe geometry object object at 0x0000017C3FA4A0C0>,33,12,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
12,<geoprocessing describe geometry object object at 0x0000017C32EFFA50>,58,13,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.914451982876,0.0,10.9732468864,0.0,0.0,0.00967539085589
13,<geoprocessing describe geometry object object at 0x0000017C3FA4A0C0>,16,14,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
14,<geoprocessing describe geometry object object at 0x0000017C32EFFA50>,10,15,Location 10 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69533174582,0.0,20.3441956501,0.0,0.0,0.0183575104246
15,<geoprocessing describe geometry object object at 0x0000017C3FA4A0C0>,36,16,Location 36 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71423812983,0.0,20.5713469526,0.0,0.0,0.0170500243604
16,<geoprocessing describe geometry object object at 0x0000017C32EFFA50>,60,17,Location 60 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71518026059,0.0,20.5826539659,0.0,0.0,0.0170585148306
17,<geoprocessing describe geometry object object at 0x0000017C3FA4A0C0>,59,18,Location 59 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72110889843,0.0,20.6535226617,0.0,0.0,0.0171231400423
18,<geoprocessing describe geometry object object at 0x0000017C32EFFA50>,35,19,Location 35 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72110889843,0.0,20.6535226617,0.0,0.0,0.0171231400423
