FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.193224654507,0.0,2.3187385787,0.0,0.0,0.00202225997476
2,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,28,3,Location 28 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.199342700542,0.0,2.39218271109,0.0,0.0,0.00217441364486
3,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,78,4,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
4,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,100,5,Location 100 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.32083322479,0.0,3.84960091466,0.0,0.0,0.00309510726948
5,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,13,6,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
6,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,25,7,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.370661520622,0.0,4.447902833,0.0,0.0,0.00409690923321
7,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,7,8,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
8,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,26,9,Location 26 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.408724252877,0.0,4.90438606704,0.0,0.0,0.0038530835318
9,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,80,10,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.424601359019,0.0,5.0953572919,0.0,0.0,0.0040382181564
10,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,55,11,Location 55 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.42763892906,0.0,5.13137300251,0.0,0.0,0.00402836368282
11,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,77,12,Location 77 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.429522555775,0.0,5.15397760073,0.0,0.0,0.00404581933547
12,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,76,13,Location 76 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.511469555224,0.0,6.13769523836,0.0,0.0,0.00531515767832
13,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,14,14,Location 14 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.587689515537,0.0,7.05220704777,0.0,0.0,0.0058437532971
14,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,81,15,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
15,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,33,16,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
16,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,75,17,Location 75 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.699444279441,0.0,8.39348895048,0.0,0.0,0.0071837523748
17,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,47,18,Location 47 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.873597613997,0.0,10.4831281812,0.0,0.0,0.00920891589228
18,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,49,19,Location 49 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.881022380071,0.0,10.5724631749,0.0,0.0,0.00893555792703
19,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,48,20,Location 48 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.902432825153,0.0,10.8293953179,0.0,0.0,0.00919691475077
20,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,58,21,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.921438954246,0.0,11.0570933474,0.0,0.0,0.00975319653143
21,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,16,22,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
22,<geoprocessing describe geometry object object at 0x0000017C3FA404B0>,97,23,Location 97 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.05061947892,0.0,12.6076372359,0.0,0.0,0.0107778202613
23,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,69,24,Location 69 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.0781371846,0.0,12.9378336107,0.0,0.0,0.0110588622878
24,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,95,25,Location 95 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.1799594514,0.0,14.1595786423,0.0,0.0,0.0125857695415
