FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A210>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133359278194,0.0,1.60033555622,0.0,0.0,0.00140652288607
1,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.143913348182,0.0,1.72692766083,0.0,0.0,0.00144329746934
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A210>,53,3,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
3,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,78,4,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.178071228216,0.0,2.13676330708,0.0,0.0,0.00190020197032
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A210>,26,5,Location 26 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.314509280321,0.0,3.77415507606,0.0,0.0,0.00313005708833
5,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,100,6,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.314509280321,0.0,3.77415507606,0.0,0.0,0.00313005708833
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A210>,27,7,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.314509280321,0.0,3.77415507606,0.0,0.0,0.00313005708833
7,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,13,8,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.447446032391,0.0,5.36907677302,0.0,0.0,0.00453760014725
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A210>,80,9,Location 80 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.473701180388,0.0,5.68408953752,0.0,0.0,0.00467222798292
9,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,55,10,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.477385501371,0.0,5.7283334816,0.0,0.0,0.00487617920049
10,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,81,11,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.601489342183,0.0,7.21767069018,0.0,0.0,0.00618798135132
11,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,14,12,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.672969818607,0.0,8.07543640727,0.0,0.0,0.00700071126999
12,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,33,13,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.683568986563,0.0,8.20260255268,0.0,0.0,0.00707010611568
13,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,58,14,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.908051813885,0.0,10.8964422894,0.0,0.0,0.00960414429498
14,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,16,15,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
15,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,99,16,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.52704555473,0.0,18.3249164468,0.0,0.0,0.0167824941804
16,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,56,17,Location 56 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.52704555473,0.0,18.3249164468,0.0,0.0,0.0167824941804
17,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,11,18,Location 11 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.52704555473,0.0,18.3249164468,0.0,0.0,0.0167824941804
18,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,10,19,Location 10 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69533174582,0.0,20.3441956501,0.0,0.0,0.0183575104246
19,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,36,20,Location 36 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71423812983,0.0,20.5713469526,0.0,0.0,0.0170500243604
20,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,60,21,Location 60 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71731193116,0.0,20.6082372804,0.0,0.0,0.0170777270542
21,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,59,22,Location 59 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72296244579,0.0,20.6757658336,0.0,0.0,0.0171398374829
22,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,35,23,Location 35 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72296244579,0.0,20.6757658336,0.0,0.0,0.0171398374829
23,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,85,24,Location 85 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72296244579,0.0,20.6757658336,0.0,0.0,0.0171398374829
24,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,74,25,Location 74 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72351881108,0.0,20.6824374405,0.0,0.0,0.0186165202022
25,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,51,26,Location 51 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.73310710162,0.0,20.7974959091,0.0,0.0,0.0187046275348
26,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,83,27,Location 83 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.79342425431,0.0,21.521399276,0.0,0.0,0.0179882106227
27,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,84,28,Location 84 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.79342425431,0.0,21.521399276,0.0,0.0,0.0179882106227
28,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,82,29,Location 82 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.85473967322,0.0,22.2568072032,0.0,0.0,0.0187443518455
29,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,34,30,Location 34 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.86276700098,0.0,22.3539462981,0.0,0.0,0.0191782794762
30,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,8,31,Location 8 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.88509523674,0.0,22.6212717802,0.0,0.0,0.0201915009606
31,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,24,32,Location 24 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.88509523674,0.0,22.6212717802,0.0,0.0,0.0201915009606
32,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,15,33,Location 15 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.88895380821,0.0,22.6681685679,0.0,0.0,0.0195304731922
33,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,31,34,Location 31 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.90139670844,0.0,22.8173208042,0.0,0.0,0.0198698469678
34,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,52,35,Location 52 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.90427825694,0.0,22.8515987343,0.0,0.0,0.0202775368207
35,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,57,36,Location 57 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.91040547954,0.0,22.9254270627,0.0,0.0,0.0199525348678
36,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,12,37,Location 12 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.91672260824,0.0,23.0011369399,0.0,0.0,0.0201760359114
37,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,73,38,Location 73 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.9515854621,0.0,23.4193215657,0.0,0.0,0.0207432567445
38,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,37,39,Location 37 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,5.20982590377,0.0,62.5170422136,0.0,0.0,0.0552869596384
39,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,61,40,Location 61 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,5.39352525296,0.0,64.7211601764,0.0,0.0,0.057530589865
40,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,87,41,Location 87 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,5.39352525296,0.0,64.7211601764,0.0,0.0,0.057530589865
41,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,54,42,Location 54 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,5.81758010095,0.0,69.8097880943,0.0,0.0,0.0615963016945
42,<geoprocessing describe geometry object object at 0x0000017C3FA40840>,32,43,Location 32 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,6.06359166814,0.0,72.7617960456,0.0,0.0,0.0644124997252
43,<geoprocessing describe geometry object object at 0x0000017C3FA40DE0>,29,44,Location 29 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,6.07698987866,0.0,72.9225680638,0.0,0.0,0.0645654062783
44,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,130,1,Location 130 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.145100474317,0.0,1.74117187018,0.0,0.0,0.00145420617252
