FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A090>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA406C0>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A090>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.186067087254,0.0,2.23271878667,0.0,0.0,0.00199231473828
3,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,28,4,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.274339802126,0.0,3.29194058531,0.0,0.0,0.00276127901667
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A090>,13,5,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
5,<geoprocessing describe geometry object object at 0x0000017C3FA40ED0>,55,6,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.41426978529,0.0,4.97137712551,0.0,0.0,0.00394219094391
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A090>,80,7,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.41426978529,0.0,4.97137712551,0.0,0.0,0.00394219094391
7,<geoprocessing describe geometry object object at 0x0000017C3FA40D20>,81,8,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A090>,14,9,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.670213282747,0.0,8.04268146328,0.0,0.0,0.00696895742262
9,<geoprocessing describe geometry object object at 0x0000017C3FA405A0>,33,10,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
