FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.215077250099,0.0,2.58100792826,0.0,0.0,0.00235752931343
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
3,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,53,4,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.239828544736,0.0,2.87798526144,0.0,0.0,0.00245601340715
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,27,5,Location 27 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.30118370975,0.0,3.61424724161,0.0,0.0,0.0030270597696
5,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,76,6,Location 76 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.307657925859,0.0,3.69205218944,0.0,0.0,0.00325159523531
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,100,7,Location 100 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.32083322479,0.0,3.84960091466,0.0,0.0,0.00309510726948
7,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,13,8,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,25,9,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.370661520622,0.0,4.447902833,0.0,0.0,0.00409690923321
9,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,7,10,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
10,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,75,11,Location 75 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.390024617174,0.0,4.68052272331,0.0,0.0,0.00401360863214
11,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,80,12,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.424601359019,0.0,5.0953572919,0.0,0.0,0.0040382181564
12,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,55,13,Location 55 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.42763892906,0.0,5.13137300251,0.0,0.0,0.00402836368282
13,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,26,14,Location 26 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.440193135839,0.0,5.28237960223,0.0,0.0,0.00433990092355
14,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,23,15,Location 23 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.530992089936,0.0,6.37217385629,0.0,0.0,0.00545310680775
15,<geoprocessing describe geometry object object at 0x0000017C3FA4A7B0>,14,16,Location 14 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.587689515537,0.0,7.05220704777,0.0,0.0,0.0058437532971
16,<geoprocessing describe geometry object object at 0x0000017C3FA40390>,81,17,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
17,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,50,18,Location 50 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.626319097522,0.0,7.51607231316,0.0,0.0,0.00635022109169
18,<geoprocessing describe geometry object object at 0x0000017C3FA40390>,33,19,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
19,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,77,20,Location 77 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.680899069192,0.0,8.17100880991,0.0,0.0,0.0068638688206
20,<geoprocessing describe geometry object object at 0x0000017C3FA40390>,9,21,Location 9 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.680899069192,0.0,8.17100880991,0.0,0.0,0.0068638688206
