FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA406C0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA403C0>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,28,3,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.215498483874,0.0,2.58586665055,0.0,0.0,0.00222119671567
3,<geoprocessing describe geometry object object at 0x0000017C3FA406C0>,100,4,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.315062689277,0.0,3.78079552034,0.0,0.0,0.00313646255889
4,<geoprocessing describe geometry object object at 0x0000017C3FA403C0>,27,5,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.315062689277,0.0,3.78079552034,0.0,0.0,0.00313646255889
5,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,13,6,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.447446032391,0.0,5.36907677302,0.0,0.0,0.00453760014725
6,<geoprocessing describe geometry object object at 0x0000017C3FA406C0>,26,7,Location 26 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.484534840875,0.0,5.81412644252,0.0,0.0,0.00494262888704
7,<geoprocessing describe geometry object object at 0x0000017C3FA403C0>,55,8,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.484534840875,0.0,5.81412644252,0.0,0.0,0.00494262888704
8,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,80,9,Location 80 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.485095742859,0.0,5.82081192977,0.0,0.0,0.00477813299327
9,<geoprocessing describe geometry object object at 0x0000017C3FA406C0>,81,10,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.601489342183,0.0,7.21767069018,0.0,0.0,0.00618798135132
