FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.215077250099,0.0,2.58100792826,0.0,0.0,0.00235752931343
2,<geoprocessing describe geometry object object at 0x0000017C3FA40810>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
3,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,53,4,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.239828544736,0.0,2.87798526144,0.0,0.0,0.00245601340715
4,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,27,5,Location 27 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.30118370975,0.0,3.61424724161,0.0,0.0,0.0030270597696
5,<geoprocessing describe geometry object object at 0x0000017C3FA40810>,76,6,Location 76 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.307657925859,0.0,3.69205218944,0.0,0.0,0.00325159523531
6,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,100,7,Location 100 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.32083322479,0.0,3.84960091466,0.0,0.0,0.00309510726948
7,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,13,8,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
8,<geoprocessing describe geometry object object at 0x0000017C3FA40810>,25,9,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.370661520622,0.0,4.447902833,0.0,0.0,0.00409690923321
9,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,7,10,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
10,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,75,11,Location 75 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.390024617174,0.0,4.68052272331,0.0,0.0,0.00401360863214
11,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,26,12,Location 26 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.408724252877,0.0,4.90438606704,0.0,0.0,0.0038530835318
12,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,80,13,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.424601359019,0.0,5.0953572919,0.0,0.0,0.0040382181564
13,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,55,14,Location 55 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.42763892906,0.0,5.13137300251,0.0,0.0,0.00402836368282
14,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,77,15,Location 77 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.451888994415,0.0,5.42238766047,0.0,0.0,0.00425308794114
15,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,23,16,Location 23 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.530992089936,0.0,6.37217385629,0.0,0.0,0.00545310680775
16,<geoprocessing describe geometry object object at 0x0000017C3FA405D0>,14,17,Location 14 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.587689515537,0.0,7.05220704777,0.0,0.0,0.0058437532971
