FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A3F0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA40210>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.174226011108,0.0,2.09076548147,0.0,0.0,0.00188211020918
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A3F0>,53,3,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.183321130426,0.0,2.19989628972,0.0,0.0,0.00193008523668
3,<geoprocessing describe geometry object object at 0x0000017C3FA40210>,78,4,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A3F0>,11,5,Location 11 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.237284175659,0.0,2.84735697095,0.0,0.0,0.00258233830789
5,<geoprocessing describe geometry object object at 0x0000017C3FA40210>,100,6,Location 100 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.32083322479,0.0,3.84960091466,0.0,0.0,0.00309510726948
6,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,13,7,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
7,<geoprocessing describe geometry object object at 0x0000017C3FA40300>,25,8,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.370661520622,0.0,4.447902833,0.0,0.0,0.00409690923321
8,<geoprocessing describe geometry object object at 0x0000017C3FA407B0>,7,9,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
9,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,26,10,Location 26 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.408724252877,0.0,4.90438606704,0.0,0.0,0.0038530835318
10,<geoprocessing describe geometry object object at 0x0000017C3FA40300>,77,11,Location 77 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.415486153071,0.0,4.98553273792,0.0,0.0,0.00391574497543
11,<geoprocessing describe geometry object object at 0x0000017C3FA407B0>,55,12,Location 55 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.415486153071,0.0,4.98553273792,0.0,0.0,0.00391574497543
12,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,80,13,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.424601359019,0.0,5.0953572919,0.0,0.0,0.0040382181564
13,<geoprocessing describe geometry object object at 0x0000017C3FA40300>,76,14,Location 76 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.511469555224,0.0,6.13769523836,0.0,0.0,0.00531515767832
