FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA40B40>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.215077250099,0.0,2.58100792826,0.0,0.0,0.00235752931343
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,53,3,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.22542089374,0.0,2.70509344949,0.0,0.0,0.00232191729578
3,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,27,4,Location 27 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.22542089374,0.0,2.70509344949,0.0,0.0,0.00232191729578
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,78,5,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
5,<geoprocessing describe geometry object object at 0x0000017C3FA40240>,100,6,Location 100 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.32083322479,0.0,3.84960091466,0.0,0.0,0.00309510726948
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,76,7,Location 76 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.358931255664,0.0,4.30717766023,0.0,0.0,0.00390765292434
7,<geoprocessing describe geometry object object at 0x0000017C3FA401B0>,13,8,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,25,9,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.370661520622,0.0,4.447902833,0.0,0.0,0.00409690923321
9,<geoprocessing describe geometry object object at 0x0000017C3FA409C0>,7,10,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
10,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,26,11,Location 26 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.408724252877,0.0,4.90438606704,0.0,0.0,0.0038530835318
11,<geoprocessing describe geometry object object at 0x0000017C3FA40900>,80,12,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.424601359019,0.0,5.0953572919,0.0,0.0,0.0040382181564
12,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,55,13,Location 55 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.42763892906,0.0,5.13137300251,0.0,0.0,0.00402836368282
13,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,77,14,Location 77 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.445611895605,0.0,5.34705888356,0.0,0.0,0.00419491850645
14,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,23,15,Location 23 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.557973443696,0.0,6.69575784067,0.0,0.0,0.00580791609232
15,<geoprocessing describe geometry object object at 0x0000017C3FA40300>,14,16,Location 14 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.587689515537,0.0,7.05220704777,0.0,0.0,0.0058437532971
16,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,81,17,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
17,<geoprocessing describe geometry object object at 0x0000017C3FA40060>,33,18,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
18,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,49,19,Location 49 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.72848408051,0.0,8.74194559676,0.0,0.0,0.00752805317305
19,<geoprocessing describe geometry object object at 0x0000017C3FA40AE0>,48,20,Location 48 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.749894525592,0.0,8.99887773973,0.0,0.0,0.00778940999679
20,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,97,21,Location 97 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.898081179359,0.0,10.7771196578,0.0,0.0,0.00937031550734
21,<geoprocessing describe geometry object object at 0x0000017C3FA40810>,58,22,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.921438954246,0.0,11.0570933474,0.0,0.0,0.00975319653143
22,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,16,23,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
23,<geoprocessing describe geometry object object at 0x0000017C3FA40660>,95,24,Location 95 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.02742115184,0.0,12.3290610641,0.0,0.0,0.0111782647875
24,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,66,25,Location 66 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.11482736918,0.0,13.3779917394,0.0,0.0,0.0121289505038
25,<geoprocessing describe geometry object object at 0x0000017C3FA40F00>,43,26,Location 43 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.13839105938,0.0,13.6607534448,0.0,0.0,0.0122817212011
26,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,19,27,Location 19 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.24128209344,0.0,14.8954815395,0.0,0.0,0.0133290162383
27,<geoprocessing describe geometry object object at 0x0000017C3FA40C60>,93,28,Location 93 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.28793408661,0.0,15.4553163608,0.0,0.0,0.0137735317741
28,<geoprocessing describe geometry object object at 0x0000017C3FA4A4E0>,92,29,Location 92 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.40260076929,0.0,16.8313004225,0.0,0.0,0.0149867514784
29,<geoprocessing describe geometry object object at 0x0000017C3FA40960>,99,30,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.54091433508,0.0,18.4913613791,0.0,0.0,0.016912096954
