FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,53,2,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
2,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,78,3,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.186067087254,0.0,2.23271878667,0.0,0.0,0.00199231473828
3,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,28,4,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.247164816882,0.0,2.96585086931,0.0,0.0,0.00251185022181
4,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,13,5,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
5,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,80,6,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.385563389227,0.0,4.62689681172,0.0,0.0,0.0036753791237
6,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,55,7,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.385563389227,0.0,4.62689681172,0.0,0.0,0.0036753791237
7,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,81,8,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
8,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,14,9,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.670213282747,0.0,8.04268146328,0.0,0.0,0.00696895742262
9,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,33,10,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
10,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,58,11,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.919199044093,0.0,11.0302135265,0.0,0.0,0.00972823010426
11,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,16,12,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
12,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,11,13,Location 11 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.3310090221,0.0,15.9726362203,0.0,0.0,0.0149433327523
13,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,99,14,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.54091433508,0.0,18.4913613791,0.0,0.0,0.016912096954
14,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,56,15,Location 56 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.54710001942,0.0,18.5655983187,0.0,0.0,0.0169709775914
15,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,85,16,Location 85 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.67770877788,0.0,20.1327595795,0.0,0.0,0.0165099260932
16,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,60,17,Location 60 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69265916922,0.0,20.3121518956,0.0,0.0,0.0167375890418
17,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,10,18,Location 10 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69533174582,0.0,20.3441956501,0.0,0.0,0.0183575104246
18,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,36,19,Location 36 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71423812983,0.0,20.5713469526,0.0,0.0,0.0170500243604
19,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,74,20,Location 74 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72351881108,0.0,20.6824374405,0.0,0.0,0.0186165202022
20,<geoprocessing describe geometry object object at 0x0000017C3FA407E0>,51,21,Location 51 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.73310710162,0.0,20.7974959091,0.0,0.0,0.0187046275348
21,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,59,22,Location 59 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.73669175748,0.0,20.8405220441,0.0,0.0,0.0172635162028
22,<geoprocessing describe geometry object object at 0x0000017C3FA404E0>,84,23,Location 84 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.80668798337,0.0,21.680590486,0.0,0.0,0.0181078479341
