FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
115,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,217,6,Location 217 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.260016621845,0.0,3.12006774902,0.0,0.0,0.00262981107581
116,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,276,7,Location 276 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.288532146471,0.0,3.46224343904,0.0,0.0,0.00289154508811
117,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,201,8,Location 201- Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.291686144353,0.0,3.50009024059,0.0,0.0,0.00292049399195
118,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,272,9,Location 272 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.374436751067,0.0,4.4931461195,0.0,0.0,0.0041180674379
119,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,220,10,Location 220 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.383933584488,0.0,4.60733895268,0.0,0.0,0.00366023101378
120,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,297,11,Location 297 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.414170082091,0.0,4.97018067476,0.0,0.0,0.00394126425043
121,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,273,12,Location 273 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.444668115585,0.0,5.33611336479,0.0,0.0,0.00438960365811
122,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,271,13,Location 271 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.452034355713,0.0,5.42451246062,0.0,0.0,0.00445786549909
123,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,274,14,Location 274 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.466474672392,0.0,5.59780452221,0.0,0.0,0.00459168286767
124,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,202,15,Location 202- Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.471527152778,0.0,5.65843717741,0.0,0.0,0.00463850404582
