FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA40C30>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.283183249397,0.0,3.39805866351,0.0,0.0,0.00284245003243
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,53,3,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.283183249397,0.0,3.39805866351,0.0,0.0,0.00284245003243
3,<geoprocessing describe geometry object object at 0x0000017C3FA402D0>,13,4,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,100,5,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.399954932929,0.0,4.7995197019,0.0,0.0,0.00398838909309
5,<geoprocessing describe geometry object object at 0x0000017C3FA40870>,80,6,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.41426978529,0.0,4.97137712551,0.0,0.0,0.00394219094391
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,26,7,Location 26 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.506642462538,0.0,6.07984098434,0.0,0.0,0.0049639156009
7,<geoprocessing describe geometry object object at 0x0000017C3FA40BD0>,55,8,Location 55 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.525557138721,0.0,6.30682791981,0.0,0.0,0.00513919575192
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,77,9,Location 77 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.526849148223,0.0,6.32233277301,0.0,0.0,0.00515116931581
9,<geoprocessing describe geometry object object at 0x0000017C3FA408A0>,81,10,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
