FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.132826407819,0.0,1.5939407193,0.0,0.0,0.00140032170028
1,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,28,2,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.143913348182,0.0,1.72692766083,0.0,0.0,0.00144329746934
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,53,3,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.147648484891,0.0,1.7717451976,0.0,0.0,0.00147762122214
3,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,78,4,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.17802963558,0.0,2.13626416856,0.0,0.0,0.00189972186644
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,55,5,Location 55 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.311003398974,0.0,3.73216117334,0.0,0.0,0.00298263384272
5,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,26,6,Location 26 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.313482404058,0.0,3.76183342041,0.0,0.0,0.00311817046593
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,27,7,Location 27 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.313482404058,0.0,3.76183342041,0.0,0.0,0.00311817046593
7,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,100,8,Location 100 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.313482404058,0.0,3.76183342041,0.0,0.0,0.00311817046593
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A030>,13,9,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.447446032391,0.0,5.36907677302,0.0,0.0,0.00453760014725
9,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,80,10,Location 80 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.471325572973,0.0,5.6555848249,0.0,0.0,0.00465014837765
10,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,81,11,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.601489342183,0.0,7.21767069018,0.0,0.0,0.00618798135132
11,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,14,12,Location 14 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.668484048975,0.0,8.02160717168,0.0,0.0,0.00695082676081
12,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,33,13,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.683568986563,0.0,8.20260255268,0.0,0.0,0.00707010611568
13,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,58,14,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.908051813885,0.0,10.8964422894,0.0,0.0,0.00960414429498
14,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,16,15,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
15,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,11,16,Location 11 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.53074098925,0.0,18.3692668751,0.0,0.0,0.0168170064017
16,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,56,17,Location 56 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.53074098925,0.0,18.3692668751,0.0,0.0,0.0168170064017
17,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,99,18,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.53074098925,0.0,18.3692668751,0.0,0.0,0.0168170064017
18,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,10,19,Location 10 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69533174582,0.0,20.3441956501,0.0,0.0,0.0183575104246
19,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,36,20,Location 36 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71423812983,0.0,20.5713469526,0.0,0.0,0.0170500243604
20,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,60,21,Location 60 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71872434221,0.0,20.6251883781,0.0,0.0,0.0170904567683
21,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,59,22,Location 59 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72316272702,0.0,20.6781692735,0.0,0.0,0.0171416416903
22,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,35,23,Location 35 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72316272702,0.0,20.6781692735,0.0,0.0,0.0171416416903
23,<geoprocessing describe geometry object object at 0x0000017C3FA40D50>,85,24,Location 85 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72316272702,0.0,20.6781692735,0.0,0.0,0.0171416416903
24,<geoprocessing describe geometry object object at 0x0000017C3E85FCF0>,74,25,Location 74 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72351881108,0.0,20.6824374405,0.0,0.0,0.0186165202022
