OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
89,3,1,  - Location 143,1,1,143,,,,,,,,1.132036430260477,,13.584968935790497,,,0.011637929724514
90,4,1,Thomas J Kavanaugh VFW Post - Location 144,1,1,144,,,,,,,,0.370255170510272,,4.443196288134879,,,0.003533096039996
91,2,1,  - Location 145,1,2,145,,,,,,,,0.526964923591457,,6.323705034830486,,,0.005101934615290
92,3,1,  - Location 147,1,1,147,,,,,,,,4.542263460147903,,54.507393724180368,,,0.048541146525946
93,3,1,  - Location 149,1,1,149,,,,,,,,1.486360677199891,,17.836784257138973,,,0.015304920329257
94,2,1,  - Location 152,1,2,152,,,,,,,,0.698034541870555,,8.376364308079053,,,0.007480506257165
95,2,1,  - Location 153,2,2,153,,,,,,,,1.665908092712351,,19.991054479326966,,,0.017358668777429
96,2,1,  - Location 155,1,2,155,,,,,,,,0.551808902320177,,6.621640090630924,,,0.005884745889439
97,3,1,  - Location 156,1,1,156,,,,,,,,1.368804581003443,,16.425851088932063,,,0.013733817442454
98,3,1,  - Location 157,1,1,157,,,,,,,,0.979428877972851,,11.753645833037041,,,0.010159433350329
99,4,1,Thomas J Kavanaugh VFW Post - Location 158,2,2,158,,,,,,,,0.260389677722154,,3.124345663487540,,,0.002477605922505
100,2,1,  - Location 159,2,2,159,,,,,,,,0.451812141554051,,5.421844312531227,,,0.004223935240460
101,2,1,  - Location 160,2,2,160,,,,,,,,1.116279099694908,,13.395529568971064,,,0.011733865567490
102,3,1,  - Location 161,1,1,161,,,,,,,,4.340614725687039,,52.087699871808390,,,0.046224671186094
103,3,1,  - Location 171,2,1,171,,,,,,,,2.279789943970685,,27.357610672011578,,,0.023342922798313
104,3,1,  - Location 172,1,1,172,,,,,,,,1.459055426400297,,17.509068644242507,,,0.014873165530950
105,3,1,  - Location 173,1,1,173,,,,,,,,1.455593074097359,,17.467583355999928,,,0.014677209130264
106,2,1,  - Location 174,2,2,174,,,,,,,,1.127235898668431,,13.526733022377725,,,0.011741117815435
107,3,1,  - Location 175,1,1,175,,,,,,,,1.467248545119441,,17.607437868029763,,,0.014785382954406
108,2,1,  - Location 176,2,2,176,,,,,,,,0.856357933284758,,10.276241199274713,,,0.009087723540893
109,3,1,  - Location 177,1,1,177,,,,,,,,1.765851488716148,,21.190682791377846,,,0.017852958118806
110,4,1,Thomas J Kavanaugh VFW Post - Location 178,2,2,178,,,,,,,,0.262291225644596,,3.147613100484972,,,0.002831886920983
111,2,1,  - Location 179,2,2,179,,,,,,,,0.431314409033698,,5.175724752613400,,,0.004913440992093
112,3,1,  - Location 181,2,1,181,,,,,,,,1.488552806674774,,17.863147110763634,,,0.015137198332355
113,4,1,Thomas J Kavanaugh VFW Post - Location 182,1,2,182,,,,,,,,0.262291225644596,,3.147613100484972,,,0.002831886920983
114,2,1,  - Location 183,1,2,183,,,,,,,,0.603600390118574,,7.243107581911230,,,0.006502685843105
115,3,1,  - Location 185,2,1,185,,,,,,,,1.875334915419704,,22.504696091417273,,,0.019013128341526
116,4,1,Thomas J Kavanaugh VFW Post - Location 186,1,1,186,,,,,,,,0.491013106898672,,5.892279774968763,,,0.004819078901570
117,4,1,Thomas J Kavanaugh VFW Post - Location 187,2,1,187,,,,,,,,0.590998708709526,,7.091865678532779,,,0.005881514964540
118,2,1,  - Location 188,2,2,188,,,,,,,,0.749915314190769,,8.998987539762380,,,0.007691568808768
119,2,1,  - Location 189,1,2,189,,,,,,,,1.083124496262425,,12.997860838420626,,,0.011342655077751
120,3,1,  - Location 196,2,1,196,,,,,,,,1.723732626892479,,20.685261051970084,,,0.017365440731132
121,3,1,  - Location 198,1,1,198,,,,,,,,1.472962470783216,,17.676000861793167,,,0.014983878611145
122,2,1,  - Location 199,1,2,199,,,,,,,,0.716296184703618,,8.595534324560374,,,0.007607655365119
123,3,1,  - Location 200,1,1,200,,,,,,,,1.270049050108906,,15.241102362759701,,,0.013031407812439
124,4,1,Thomas J Kavanaugh VFW Post - Location 201,2,2,201,,,,,,,,0.208059588980534,,2.496757792375782,,,0.002160332079338
