OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,4,1,Thomas J Kavanaugh VFW Post - Location 1,2,2,1,,,,,,,,2.341184429632004,,28.093364886343917,,,0.025237781723023
2,4,1,Thomas J Kavanaugh VFW Post - Location 2,1,2,2,,,,,,,,2.327133198654945,,27.924735064355058,,,0.025029532412474
3,4,1,Thomas J Kavanaugh VFW Post - Location 3,2,2,3,,,,,,,,2.275858910982912,,27.309705838101461,,,0.024443173931865
4,4,1,Thomas J Kavanaugh VFW Post - Location 4,1,2,4,,,,,,,,1.949426836149422,,23.392700772579037,,,0.020862146918886
5,4,1,Thomas J Kavanaugh VFW Post - Location 6,2,2,6,,,,,,,,0.903978023421279,,10.847657539053150,,,0.009746147426388
6,4,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
7,2,1,  - Location 8,2,2,8,,,,,,,,0.730804686883181,,8.769653449257937,,,0.007740784462172
8,4,1,Thomas J Kavanaugh VFW Post - Location 9,2,2,9,,,,,,,,1.239666068754155,,14.875849064068117,,,0.012743907483934
9,2,1,  - Location 10,1,2,10,,,,,,,,0.452880087082300,,5.434504811167531,,,0.004975690285257
10,2,1,  - Location 11,2,2,11,,,,,,,,0.659707620377571,,7.916565358010844,,,0.006941818405469
11,2,1,  - Location 12,2,2,12,,,,,,,,0.645833533430570,,7.750181409255501,,,0.006577645749099
12,4,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
13,4,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
14,2,1,  - Location 15,2,2,15,,,,,,,,0.734393492971188,,8.812794591238294,,,0.007319497851401
15,3,1,  - Location 16,2,1,16,,,,,,,,0.509079942237257,,6.109070248051044,,,0.005067504673275
16,4,1,Thomas J Kavanaugh VFW Post - Location 17,2,2,17,,,,,,,,2.354029521018072,,28.247518882260582,,,0.025475327766942
17,4,1,Thomas J Kavanaugh VFW Post - Location 18,2,2,18,,,,,,,,2.292273616057384,,27.506668352424203,,,0.024535635291351
18,4,1,Thomas J Kavanaugh VFW Post - Location 20,1,2,20,,,,,,,,1.672641845531278,,20.071180599959366,,,0.017698170329490
19,4,1,Thomas J Kavanaugh VFW Post - Location 21,1,2,21,,,,,,,,1.821343311545598,,21.855486800566759,,,0.019258512971998
20,4,1,Thomas J Kavanaugh VFW Post - Location 22,1,2,22,,,,,,,,1.223461558316737,,14.681431830789711,,,0.012542829895930
21,4,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,1.021039544770308,,12.252300809415360,,,0.010779833894283
