OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,4,1,Thomas J Kavanaugh VFW Post - Location 6,2,2,6,,,,,,,,0.903978023421279,,10.847657539053150,,,0.009746147426388
2,4,1,Thomas J Kavanaugh VFW Post - Location 7,1,2,7,,,,,,,,0.375118259380447,,4.501313389786462,,,0.004180112736281
3,2,1,  - Location 8,2,2,8,,,,,,,,0.730804686883181,,8.769653449257937,,,0.007740784462172
4,4,1,Thomas J Kavanaugh VFW Post - Location 9,2,2,9,,,,,,,,1.239666068754155,,14.875849064068117,,,0.012743907483934
5,2,1,  - Location 10,1,2,10,,,,,,,,0.452880087082300,,5.434504811167531,,,0.004975690285257
6,2,1,  - Location 11,2,2,11,,,,,,,,0.659441606411070,,7.913372815084490,,,0.006939322269899
7,2,1,  - Location 12,2,2,12,,,,,,,,0.645833533430570,,7.750181409255501,,,0.006577645749099
8,4,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
9,4,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
10,2,1,  - Location 15,2,2,15,,,,,,,,0.734393492971188,,8.812794591238294,,,0.007319497851401
11,3,1,  - Location 16,2,1,16,,,,,,,,0.509079942237257,,6.109070248051044,,,0.005067504673275
12,4,1,Thomas J Kavanaugh VFW Post - Location 20,1,2,20,,,,,,,,1.672641845531278,,20.071180599959366,,,0.017698170329490
13,4,1,Thomas J Kavanaugh VFW Post - Location 21,1,2,21,,,,,,,,1.821343311545598,,21.855486800566759,,,0.019258512971998
14,4,1,Thomas J Kavanaugh VFW Post - Location 22,1,2,22,,,,,,,,1.223461558316737,,14.681431830789711,,,0.012542829895930
15,4,1,Thomas J Kavanaugh VFW Post - Location 23,2,2,23,,,,,,,,1.021039544770308,,12.252300809415360,,,0.010779833894283
16,2,1,  - Location 24,1,2,24,,,,,,,,0.862586402597924,,10.350980109691671,,,0.009144926697830
17,4,1,Thomas J Kavanaugh VFW Post - Location 26,2,2,26,,,,,,,,1.249849981531595,,14.998142488679209,,,0.012846212350053
